model,family,params,split,roc_auc,pr_auc,f1,precision,recall,accuracy
random_forest_grid_08,random_forest,"{'max_depth': 12, 'min_samples_leaf': 100, 'n_estimators': 200}",validation,0.592174589432473,0.5593819460850947,0.4704825671593043,0.5618174726989079,0.40469167017839586,0.5676666666666667
random_forest_grid_06,random_forest,"{'max_depth': 12, 'min_samples_leaf': 20, 'n_estimators': 200}",validation,0.5920595993511362,0.5589156135059773,0.4715983072916667,0.5605532985103502,0.40700941143419017,0.5671333333333334
random_forest_grid_12,random_forest,"{'max_depth': None, 'min_samples_leaf': 100, 'n_estimators': 200}",validation,0.5918885445870363,0.5592729027518882,0.47454611621042414,0.5592299628323645,0.41213653603034134,0.5668333333333333
random_forest_grid_05,random_forest,"{'max_depth': 12, 'min_samples_leaf': 20, 'n_estimators': 100}",validation,0.5918542917483464,0.5588849034336232,0.47299542157935254,0.5589390022024322,0.40995926394156484,0.5664333333333333
random_forest_grid_11,random_forest,"{'max_depth': None, 'min_samples_leaf': 100, 'n_estimators': 100}",validation,0.5917577136260921,0.558596070323078,0.4753754238656548,0.5589519650655022,0.4135412277005197,0.5668
random_forest_grid_02,random_forest,"{'max_depth': 8, 'min_samples_leaf': 20, 'n_estimators': 200}",validation,0.5915843551391351,0.5586240313885573,0.44858546501778757,0.564966929805846,0.3719623542632392,0.566
random_forest_grid_07,random_forest,"{'max_depth': 12, 'min_samples_leaf': 100, 'n_estimators': 100}",validation,0.5915519693408263,0.5588854799789402,0.4706074461136512,0.5619029050497173,0.4048321393454137,0.5677333333333333
random_forest_grid_01,random_forest,"{'max_depth': 8, 'min_samples_leaf': 20, 'n_estimators': 100}",validation,0.5911488579443209,0.5579273672850971,0.44783068783068786,0.5635453286459998,0.3715409467621857,0.5651666666666667
random_forest_grid_03,random_forest,"{'max_depth': 8, 'min_samples_leaf': 100, 'n_estimators': 100}",validation,0.5911459348452992,0.5588450869118248,0.4481514495521881,0.5663555412509388,0.37076836634358756,0.5666333333333333
random_forest_grid_04,random_forest,"{'max_depth': 8, 'min_samples_leaf': 100, 'n_estimators': 200}",validation,0.5909297547400502,0.5585025091903569,0.447934796451161,0.5661551668633974,0.37055766259306083,0.5665
random_forest_grid_10,random_forest,"{'max_depth': None, 'min_samples_leaf': 20, 'n_estimators': 200}",validation,0.5890936207837616,0.555186735075174,0.48509056394843,0.5551230992034757,0.4307487006602051,0.566
logistic_regression_grid_02,logistic_regression,"{'C': 0.3, 'class_weight': 'balanced'}",validation,0.5875080489937776,0.5557079655931427,0.549950408700708,0.5359642690487301,0.5646860514117151,0.5613666666666667
logistic_regression_grid_04,logistic_regression,"{'C': 1.0, 'class_weight': 'balanced'}",validation,0.5875079019476377,0.5557065926595692,0.549950408700708,0.5359642690487301,0.5646860514117151,0.5613666666666667
logistic_regression_grid_01,logistic_regression,"{'C': 0.3, 'class_weight': None}",validation,0.5875073404987403,0.555709651267629,0.48714235390817645,0.550172398550084,0.43706981317600785,0.5632333333333334
logistic_regression_grid_06,logistic_regression,"{'C': 3.0, 'class_weight': 'balanced'}",validation,0.5875073404987402,0.5557067231507824,0.549950408700708,0.5359642690487301,0.5646860514117151,0.5613666666666667
logistic_regression_grid_03,logistic_regression,"{'C': 1.0, 'class_weight': None}",validation,0.5875060349072564,0.5557089472996235,0.4871824977495988,0.5501635286838151,0.43714004775951676,0.5632333333333334
logistic_regression_grid_05,logistic_regression,"{'C': 3.0, 'class_weight': None}",validation,0.5875055402975133,0.5557085057969238,0.4871824977495988,0.5501635286838151,0.43714004775951676,0.5632333333333334
random_forest_grid_09,random_forest,"{'max_depth': None, 'min_samples_leaf': 20, 'n_estimators': 100}",validation,0.5874025233367125,0.5546333817897442,0.48456863209408796,0.5530630630630631,0.4311701081612586,0.5646666666666667
extra_trees_grid_05,extra_trees,"{'max_depth': 12, 'min_samples_leaf': 20, 'n_estimators': 100}",validation,0.586830197480827,0.5535073884050412,0.4750695312185094,0.557468546022136,0.4138924006180643,0.5659
logistic_regression_baseline,baseline,"{'feature_engineering': False, 'class_weight': 'balanced'}",validation,0.5865872326984131,0.5550276114706769,0.5498868545566756,0.5371784565916399,0.5632111251580278,0.5624
extra_trees_grid_06,extra_trees,"{'max_depth': 12, 'min_samples_leaf': 20, 'n_estimators': 200}",validation,0.5864491964766176,0.5531937131022568,0.47217387784838305,0.5571687840290381,0.40967832560752915,0.5653
extra_trees_grid_12,extra_trees,"{'max_depth': None, 'min_samples_leaf': 100, 'n_estimators': 200}",validation,0.586268302988981,0.5534761976054771,0.47761672139024586,0.5555141579731744,0.41887905604719766,0.5651333333333334
extra_trees_grid_11,extra_trees,"{'max_depth': None, 'min_samples_leaf': 100, 'n_estimators': 100}",validation,0.5861558438836265,0.5532187117992035,0.47641150814293143,0.5536129452245885,0.41810647562859954,0.5638333333333333
extra_trees_grid_08,extra_trees,"{'max_depth': 12, 'min_samples_leaf': 100, 'n_estimators': 200}",validation,0.5857961333780852,0.5534665556924272,0.46724250325945244,0.5563749272268581,0.4027251018401461,0.5641333333333334
extra_trees_grid_07,extra_trees,"{'max_depth': 12, 'min_samples_leaf': 100, 'n_estimators': 100}",validation,0.5857800563334653,0.5533751217132798,0.4663728370878224,0.5565945840639003,0.40132041016996767,0.5641333333333334
extra_trees_grid_10,extra_trees,"{'max_depth': None, 'min_samples_leaf': 20, 'n_estimators': 200}",validation,0.5852002088447308,0.5516168844217882,0.48354769983429335,0.5516744688512784,0.4303975277426605,0.5636666666666666
extra_trees_grid_09,extra_trees,"{'max_depth': None, 'min_samples_leaf': 20, 'n_estimators': 100}",validation,0.5849452753977246,0.5513338490140114,0.48322041909563573,0.5501345291479821,0.430818935243714,0.5626666666666666
extra_trees_grid_02,extra_trees,"{'max_depth': 8, 'min_samples_leaf': 20, 'n_estimators': 200}",validation,0.5848296035570122,0.5525192867814298,0.4462747405135101,0.5554974369703944,0.3729456384323641,0.5607666666666666
extra_trees_grid_04,extra_trees,"{'max_depth': 8, 'min_samples_leaf': 100, 'n_estimators': 200}",validation,0.5848184235944425,0.5526858136297673,0.44480013478791963,0.5556140166263285,0.37083860092709653,0.5606333333333333
extra_trees_grid_03,extra_trees,"{'max_depth': 8, 'min_samples_leaf': 100, 'n_estimators': 100}",validation,0.5847982693614003,0.5525930809341978,0.4448936618235418,0.5555906174397812,0.37097907009411435,0.5606333333333333
extra_trees_grid_01,extra_trees,"{'max_depth': 8, 'min_samples_leaf': 20, 'n_estimators': 100}",validation,0.5844769401263232,0.5522021711413585,0.44466885466633005,0.554575986565911,0.37111953926113217,0.5600666666666667
decision_tree_grid_04,decision_tree,"{'max_depth': 8, 'min_samples_leaf': 200}",validation,0.5755249159524369,0.5402783784068673,0.4900219171761449,0.5414223808309967,0.4475347661188369,0.5579
decision_tree_grid_03,decision_tree,"{'max_depth': 8, 'min_samples_leaf': 50}",validation,0.5732178333138075,0.5374841680689115,0.47216723414363765,0.5411070780399274,0.4188088214636887,0.5556
